case_id,model_a,model_b,winner,reasoning_effort_a,reasoning_effort_b
applied-intelligence-analysis-smoke,claude-opus-4.7,gpt-5.4,a,default-effort,long
applied-intelligence-analysis-smoke,claude-sonnet-4.6,gpt-5.2,draw,,
applied-intelligence-analysis-smoke,claude-sonnet-4.6,gpt-5.4-mini,a,,
applied-intelligence-analysis-smoke,claude-sonnet-4.6,gpt-5.4,a,,long
applied-intelligence-analysis-smoke,gpt-5.2,gpt-5.4,draw,,
applied-intelligence-analysis-smoke,gpt-5.2,gpt-5.4-mini,a,,
applied-intelligence-analysis-smoke,gpt-5.2,gpt-5.4,a,,long
applied-intelligence-analysis-smoke,gpt-5.4,gpt-5.4-mini,a,,
applied-intelligence-analysis-smoke,gpt-5.4,gpt-5.4,a,,long
applied-intelligence-analysis-smoke,gpt-5.4-mini,gpt-5.4,draw,,long
applied-legal-reasoning-smoke,claude-haiku-4.5,claude-opus-4.7,b,,default-effort
applied-legal-reasoning-smoke,claude-haiku-4.5,gpt-5.2,a,,
applied-legal-reasoning-smoke,claude-haiku-4.5,gpt-5.4-mini,a,,
applied-legal-reasoning-smoke,claude-haiku-4.5,gpt-5.4,a,,long
applied-legal-reasoning-smoke,claude-opus-4.7-high,claude-opus-4.7,b,,default-effort
applied-legal-reasoning-smoke,claude-opus-4.7-high,gpt-5.2,draw,,
applied-legal-reasoning-smoke,claude-opus-4.7-high,gpt-5.4-mini,a,,
applied-legal-reasoning-smoke,claude-opus-4.7-high,gpt-5.4,draw,,long
applied-legal-reasoning-smoke,claude-opus-4.7,claude-sonnet-4.6,draw,default-effort,
applied-legal-reasoning-smoke,claude-opus-4.7,gpt-5.2,a,default-effort,
applied-legal-reasoning-smoke,claude-opus-4.7,gpt-5.4,a,default-effort,
applied-legal-reasoning-smoke,claude-opus-4.7,gpt-5.4-mini,a,default-effort,
applied-legal-reasoning-smoke,claude-opus-4.7,gpt-5.4,a,default-effort,long
applied-legal-reasoning-smoke,claude-sonnet-4.6,gpt-5.2,a,,
applied-legal-reasoning-smoke,claude-sonnet-4.6,gpt-5.4-mini,a,,
applied-legal-reasoning-smoke,claude-sonnet-4.6,gpt-5.4,a,,long
applied-legal-reasoning-smoke,gpt-5.2,gpt-5.4,b,,
applied-legal-reasoning-smoke,gpt-5.2,gpt-5.4-mini,a,,
applied-legal-reasoning-smoke,gpt-5.2,gpt-5.4,draw,,long
applied-legal-reasoning-smoke,gpt-5.4,gpt-5.4-mini,a,,
applied-legal-reasoning-smoke,gpt-5.4,gpt-5.4,a,,long
applied-legal-reasoning-smoke,gpt-5.4-mini,gpt-5.4,b,,long
applied-strategy-analysis-smoke,claude-haiku-4.5,claude-opus-4.7,draw,,default-effort
applied-strategy-analysis-smoke,claude-haiku-4.5,gpt-5.2,a,,
applied-strategy-analysis-smoke,claude-haiku-4.5,gpt-5.4-mini,a,,
applied-strategy-analysis-smoke,claude-haiku-4.5,gpt-5.4,a,,long
applied-strategy-analysis-smoke,claude-opus-4.7-high,claude-opus-4.7,b,,default-effort
applied-strategy-analysis-smoke,claude-opus-4.7-high,gpt-5.2,draw,,
applied-strategy-analysis-smoke,claude-opus-4.7-high,gpt-5.4-mini,draw,,
applied-strategy-analysis-smoke,claude-opus-4.7-high,gpt-5.4,draw,,long
applied-strategy-analysis-smoke,claude-opus-4.7,claude-sonnet-4.6,a,default-effort,
applied-strategy-analysis-smoke,claude-opus-4.7,gpt-5.2,a,default-effort,
applied-strategy-analysis-smoke,claude-opus-4.7,gpt-5.4,a,default-effort,
applied-strategy-analysis-smoke,claude-opus-4.7,gpt-5.4-mini,a,default-effort,
applied-strategy-analysis-smoke,claude-opus-4.7,gpt-5.4,a,default-effort,long
applied-strategy-analysis-smoke,claude-sonnet-4.6,gpt-5.2,draw,,
applied-strategy-analysis-smoke,claude-sonnet-4.6,gpt-5.4-mini,draw,,
applied-strategy-analysis-smoke,claude-sonnet-4.6,gpt-5.4,draw,,long
applied-strategy-analysis-smoke,gpt-5.2,gpt-5.4,draw,,
applied-strategy-analysis-smoke,gpt-5.2,gpt-5.4-mini,draw,,
applied-strategy-analysis-smoke,gpt-5.2,gpt-5.4,draw,,long
applied-strategy-analysis-smoke,gpt-5.4,gpt-5.4-mini,draw,,
applied-strategy-analysis-smoke,gpt-5.4,gpt-5.4,draw,,long
applied-strategy-analysis-smoke,gpt-5.4-mini,gpt-5.4,draw,,long
lean-ai-formalization-smoke,claude-haiku-4.5,claude-opus-4.7,draw,,default-effort
lean-ai-formalization-smoke,claude-haiku-4.5,gpt-5.2,draw,,
lean-ai-formalization-smoke,claude-haiku-4.5,gpt-5.4-mini,draw,,
lean-ai-formalization-smoke,claude-haiku-4.5,gpt-5.4,draw,,long
lean-ai-formalization-smoke,claude-opus-4.7-high,claude-opus-4.7,draw,,default-effort
lean-ai-formalization-smoke,claude-opus-4.7-high,gpt-5.2,draw,,
lean-ai-formalization-smoke,claude-opus-4.7-high,gpt-5.4-mini,draw,,
lean-ai-formalization-smoke,claude-opus-4.7-high,gpt-5.4,draw,,long
lean-ai-formalization-smoke,claude-opus-4.7,claude-sonnet-4.6,draw,default-effort,
lean-ai-formalization-smoke,claude-opus-4.7,gpt-5.2,draw,default-effort,
lean-ai-formalization-smoke,claude-opus-4.7,gpt-5.4,draw,default-effort,
lean-ai-formalization-smoke,claude-opus-4.7,gpt-5.4-mini,draw,default-effort,
lean-ai-formalization-smoke,claude-opus-4.7,gpt-5.4,draw,default-effort,long
lean-ai-formalization-smoke,claude-sonnet-4.6,gpt-5.2,draw,,
lean-ai-formalization-smoke,claude-sonnet-4.6,gpt-5.4-mini,draw,,
lean-ai-formalization-smoke,claude-sonnet-4.6,gpt-5.4,draw,,long
lean-ai-formalization-smoke,gpt-5.2,gpt-5.4,draw,,
lean-ai-formalization-smoke,gpt-5.2,gpt-5.4-mini,draw,,
lean-ai-formalization-smoke,gpt-5.2,gpt-5.4,draw,,long
lean-ai-formalization-smoke,gpt-5.4,gpt-5.4-mini,draw,,
lean-ai-formalization-smoke,gpt-5.4,gpt-5.4,draw,,long
lean-ai-formalization-smoke,gpt-5.4-mini,gpt-5.4,draw,,long
lean-applied-reasoning-smoke,claude-haiku-4.5,claude-opus-4.7,draw,,default-effort
lean-applied-reasoning-smoke,claude-haiku-4.5,gpt-5.2,draw,,
lean-applied-reasoning-smoke,claude-haiku-4.5,gpt-5.4-mini,draw,,
lean-applied-reasoning-smoke,claude-haiku-4.5,gpt-5.4,draw,,long
lean-applied-reasoning-smoke,claude-opus-4.7-high,claude-opus-4.7,draw,,default-effort
lean-applied-reasoning-smoke,claude-opus-4.7-high,gpt-5.2,draw,,
lean-applied-reasoning-smoke,claude-opus-4.7-high,gpt-5.4-mini,draw,,
lean-applied-reasoning-smoke,claude-opus-4.7-high,gpt-5.4,draw,,long
lean-applied-reasoning-smoke,claude-opus-4.7,claude-sonnet-4.6,draw,default-effort,
lean-applied-reasoning-smoke,claude-opus-4.7,gpt-5.2,draw,default-effort,
lean-applied-reasoning-smoke,claude-opus-4.7,gpt-5.4,draw,default-effort,
lean-applied-reasoning-smoke,claude-opus-4.7,gpt-5.4-mini,draw,default-effort,
lean-applied-reasoning-smoke,claude-opus-4.7,gpt-5.4,draw,default-effort,long
lean-applied-reasoning-smoke,claude-sonnet-4.6,gpt-5.2,draw,,
lean-applied-reasoning-smoke,claude-sonnet-4.6,gpt-5.4-mini,draw,,
lean-applied-reasoning-smoke,claude-sonnet-4.6,gpt-5.4,draw,,long
lean-applied-reasoning-smoke,gpt-5.2,gpt-5.4,draw,,
lean-applied-reasoning-smoke,gpt-5.2,gpt-5.4-mini,draw,,
lean-applied-reasoning-smoke,gpt-5.2,gpt-5.4,draw,,long
lean-applied-reasoning-smoke,gpt-5.4,gpt-5.4-mini,draw,,
lean-applied-reasoning-smoke,gpt-5.4,gpt-5.4,draw,,long
lean-applied-reasoning-smoke,gpt-5.4-mini,gpt-5.4,draw,,long
lean-bisect-smoke,claude-haiku-4.5,claude-opus-4.7,b,,default-effort
lean-bisect-smoke,claude-haiku-4.5,gpt-5.2,b,,
lean-bisect-smoke,claude-haiku-4.5,gpt-5.4-mini,b,,
lean-bisect-smoke,claude-haiku-4.5,gpt-5.4,b,,long
lean-bisect-smoke,claude-opus-4.7-high,claude-opus-4.7,b,,default-effort
lean-bisect-smoke,claude-opus-4.7-high,gpt-5.2,b,,
lean-bisect-smoke,claude-opus-4.7-high,gpt-5.4-mini,b,,
lean-bisect-smoke,claude-opus-4.7-high,gpt-5.4,b,,long
lean-bisect-smoke,claude-opus-4.7,claude-sonnet-4.6,a,default-effort,
lean-bisect-smoke,claude-opus-4.7,gpt-5.2,a,default-effort,
lean-bisect-smoke,claude-opus-4.7,gpt-5.4,a,default-effort,
lean-bisect-smoke,claude-opus-4.7,gpt-5.4-mini,a,default-effort,
lean-bisect-smoke,claude-opus-4.7,gpt-5.4,a,default-effort,long
lean-bisect-smoke,claude-sonnet-4.6,gpt-5.2,b,,
lean-bisect-smoke,claude-sonnet-4.6,gpt-5.4-mini,b,,
lean-bisect-smoke,claude-sonnet-4.6,gpt-5.4,b,,long
lean-bisect-smoke,gpt-5.2,gpt-5.4,a,,
lean-bisect-smoke,gpt-5.2,gpt-5.4-mini,draw,,
lean-bisect-smoke,gpt-5.2,gpt-5.4,draw,,long
lean-bisect-smoke,gpt-5.4,gpt-5.4-mini,b,,
lean-bisect-smoke,gpt-5.4,gpt-5.4,b,,long
lean-bisect-smoke,gpt-5.4-mini,gpt-5.4,draw,,long
lean-build-smoke,claude-haiku-4.5,claude-opus-4.7,b,,default-effort
lean-build-smoke,claude-haiku-4.5,gpt-5.2,b,,
lean-build-smoke,claude-haiku-4.5,gpt-5.4-mini,b,,
lean-build-smoke,claude-haiku-4.5,gpt-5.4,b,,long
lean-build-smoke,claude-opus-4.7-high,claude-opus-4.7,b,,default-effort
lean-build-smoke,claude-opus-4.7-high,gpt-5.2,b,,
lean-build-smoke,claude-opus-4.7-high,gpt-5.4-mini,b,,
lean-build-smoke,claude-opus-4.7-high,gpt-5.4,b,,long
lean-build-smoke,claude-opus-4.7,claude-sonnet-4.6,a,default-effort,
lean-build-smoke,claude-opus-4.7,gpt-5.2,a,default-effort,
lean-build-smoke,claude-opus-4.7,gpt-5.4,a,default-effort,
lean-build-smoke,claude-opus-4.7,gpt-5.4-mini,a,default-effort,
lean-build-smoke,claude-opus-4.7,gpt-5.4,a,default-effort,long
lean-build-smoke,claude-sonnet-4.6,gpt-5.2,b,,
lean-build-smoke,claude-sonnet-4.6,gpt-5.4-mini,b,,
lean-build-smoke,claude-sonnet-4.6,gpt-5.4,b,,long
lean-build-smoke,gpt-5.2,gpt-5.4,a,,
lean-build-smoke,gpt-5.2,gpt-5.4-mini,b,,
lean-build-smoke,gpt-5.2,gpt-5.4,b,,long
lean-build-smoke,gpt-5.4,gpt-5.4-mini,b,,
lean-build-smoke,gpt-5.4,gpt-5.4,b,,long
lean-build-smoke,gpt-5.4-mini,gpt-5.4,draw,,long
lean-causal-reasoning-smoke,claude-haiku-4.5,claude-opus-4.7,draw,,default-effort
lean-causal-reasoning-smoke,claude-haiku-4.5,gpt-5.2,draw,,
lean-causal-reasoning-smoke,claude-haiku-4.5,gpt-5.4-mini,draw,,
lean-causal-reasoning-smoke,claude-haiku-4.5,gpt-5.4,draw,,long
lean-causal-reasoning-smoke,claude-opus-4.7-high,claude-opus-4.7,draw,,default-effort
lean-causal-reasoning-smoke,claude-opus-4.7-high,gpt-5.2,draw,,
lean-causal-reasoning-smoke,claude-opus-4.7-high,gpt-5.4-mini,draw,,
lean-causal-reasoning-smoke,claude-opus-4.7-high,gpt-5.4,draw,,long
lean-causal-reasoning-smoke,claude-opus-4.7,claude-sonnet-4.6,draw,default-effort,
lean-causal-reasoning-smoke,claude-opus-4.7,gpt-5.2,draw,default-effort,
lean-causal-reasoning-smoke,claude-opus-4.7,gpt-5.4,draw,default-effort,
lean-causal-reasoning-smoke,claude-opus-4.7,gpt-5.4-mini,draw,default-effort,
lean-causal-reasoning-smoke,claude-opus-4.7,gpt-5.4,draw,default-effort,long
lean-causal-reasoning-smoke,claude-sonnet-4.6,gpt-5.2,draw,,
lean-causal-reasoning-smoke,claude-sonnet-4.6,gpt-5.4-mini,draw,,
lean-causal-reasoning-smoke,claude-sonnet-4.6,gpt-5.4,draw,,long
lean-causal-reasoning-smoke,gpt-5.2,gpt-5.4,draw,,
lean-causal-reasoning-smoke,gpt-5.2,gpt-5.4-mini,draw,,
lean-causal-reasoning-smoke,gpt-5.2,gpt-5.4,draw,,long
lean-causal-reasoning-smoke,gpt-5.4,gpt-5.4-mini,draw,,
lean-causal-reasoning-smoke,gpt-5.4,gpt-5.4,draw,,long
lean-causal-reasoning-smoke,gpt-5.4-mini,gpt-5.4,draw,,long
lean-doc-improvement-smoke,claude-haiku-4.5,claude-opus-4.7,b,,default-effort
lean-doc-improvement-smoke,claude-haiku-4.5,gpt-5.2,draw,,
lean-doc-improvement-smoke,claude-haiku-4.5,gpt-5.4-mini,draw,,
lean-doc-improvement-smoke,claude-haiku-4.5,gpt-5.4,draw,,long
lean-doc-improvement-smoke,claude-opus-4.7-high,claude-opus-4.7,a,,default-effort
lean-doc-improvement-smoke,claude-opus-4.7-high,gpt-5.2,a,,
lean-doc-improvement-smoke,claude-opus-4.7-high,gpt-5.4-mini,a,,
lean-doc-improvement-smoke,claude-opus-4.7-high,gpt-5.4,a,,long
lean-doc-improvement-smoke,claude-opus-4.7,claude-sonnet-4.6,draw,default-effort,
lean-doc-improvement-smoke,claude-opus-4.7,gpt-5.2,a,default-effort,
lean-doc-improvement-smoke,claude-opus-4.7,gpt-5.4,a,default-effort,
lean-doc-improvement-smoke,claude-opus-4.7,gpt-5.4-mini,a,default-effort,
lean-doc-improvement-smoke,claude-opus-4.7,gpt-5.4,a,default-effort,long
lean-doc-improvement-smoke,claude-sonnet-4.6,gpt-5.2,a,,
lean-doc-improvement-smoke,claude-sonnet-4.6,gpt-5.4-mini,a,,
lean-doc-improvement-smoke,claude-sonnet-4.6,gpt-5.4,a,,long
lean-doc-improvement-smoke,gpt-5.2,gpt-5.4,draw,,
lean-doc-improvement-smoke,gpt-5.2,gpt-5.4-mini,draw,,
lean-doc-improvement-smoke,gpt-5.2,gpt-5.4,draw,,long
lean-doc-improvement-smoke,gpt-5.4,gpt-5.4-mini,draw,,
lean-doc-improvement-smoke,gpt-5.4,gpt-5.4,draw,,long
lean-doc-improvement-smoke,gpt-5.4-mini,gpt-5.4,draw,,long
lean-doc-requirements-smoke,claude-haiku-4.5,claude-opus-4.7,draw,,default-effort
lean-doc-requirements-smoke,claude-haiku-4.5,gpt-5.2,b,,
lean-doc-requirements-smoke,claude-haiku-4.5,gpt-5.4-mini,b,,
lean-doc-requirements-smoke,claude-haiku-4.5,gpt-5.4,b,,long
lean-doc-requirements-smoke,claude-opus-4.7-high,claude-opus-4.7,draw,,default-effort
lean-doc-requirements-smoke,claude-opus-4.7-high,gpt-5.2,b,,
lean-doc-requirements-smoke,claude-opus-4.7-high,gpt-5.4-mini,b,,
lean-doc-requirements-smoke,claude-opus-4.7-high,gpt-5.4,b,,long
lean-doc-requirements-smoke,claude-opus-4.7,claude-sonnet-4.6,b,default-effort,
lean-doc-requirements-smoke,claude-opus-4.7,gpt-5.2,b,default-effort,
lean-doc-requirements-smoke,claude-opus-4.7,gpt-5.4,b,default-effort,
lean-doc-requirements-smoke,claude-opus-4.7,gpt-5.4-mini,b,default-effort,
lean-doc-requirements-smoke,claude-opus-4.7,gpt-5.4,b,default-effort,long
lean-doc-requirements-smoke,claude-sonnet-4.6,gpt-5.2,draw,,
lean-doc-requirements-smoke,claude-sonnet-4.6,gpt-5.4-mini,draw,,
lean-doc-requirements-smoke,claude-sonnet-4.6,gpt-5.4,draw,,long
lean-doc-requirements-smoke,gpt-5.2,gpt-5.4,draw,,
lean-doc-requirements-smoke,gpt-5.2,gpt-5.4-mini,draw,,
lean-doc-requirements-smoke,gpt-5.2,gpt-5.4,draw,,long
lean-doc-requirements-smoke,gpt-5.4,gpt-5.4-mini,draw,,
lean-doc-requirements-smoke,gpt-5.4,gpt-5.4,draw,,long
lean-doc-requirements-smoke,gpt-5.4-mini,gpt-5.4,draw,,long
lean-integration-protocol-smoke,claude-haiku-4.5,claude-opus-4.7,draw,,default-effort
lean-integration-protocol-smoke,claude-haiku-4.5,gpt-5.2,draw,,
lean-integration-protocol-smoke,claude-haiku-4.5,gpt-5.4-mini,draw,,
lean-integration-protocol-smoke,claude-haiku-4.5,gpt-5.4,draw,,long
lean-integration-protocol-smoke,claude-opus-4.7-high,claude-opus-4.7,draw,,default-effort
lean-integration-protocol-smoke,claude-opus-4.7-high,gpt-5.2,draw,,
lean-integration-protocol-smoke,claude-opus-4.7-high,gpt-5.4-mini,draw,,
lean-integration-protocol-smoke,claude-opus-4.7-high,gpt-5.4,draw,,long
lean-integration-protocol-smoke,claude-opus-4.7,claude-sonnet-4.6,draw,default-effort,
lean-integration-protocol-smoke,claude-opus-4.7,gpt-5.2,draw,default-effort,
lean-integration-protocol-smoke,claude-opus-4.7,gpt-5.4,draw,default-effort,
lean-integration-protocol-smoke,claude-opus-4.7,gpt-5.4-mini,draw,default-effort,
lean-integration-protocol-smoke,claude-opus-4.7,gpt-5.4,draw,default-effort,long
lean-integration-protocol-smoke,claude-sonnet-4.6,gpt-5.2,draw,,
lean-integration-protocol-smoke,claude-sonnet-4.6,gpt-5.4-mini,draw,,
lean-integration-protocol-smoke,claude-sonnet-4.6,gpt-5.4,draw,,long
lean-integration-protocol-smoke,gpt-5.2,gpt-5.4,draw,,
lean-integration-protocol-smoke,gpt-5.2,gpt-5.4-mini,draw,,
lean-integration-protocol-smoke,gpt-5.2,gpt-5.4,draw,,long
lean-integration-protocol-smoke,gpt-5.4,gpt-5.4-mini,draw,,
lean-integration-protocol-smoke,gpt-5.4,gpt-5.4,draw,,long
lean-integration-protocol-smoke,gpt-5.4-mini,gpt-5.4,draw,,long
lean-knowledge-formalization-smoke,claude-haiku-4.5,claude-opus-4.7,draw,,default-effort
lean-knowledge-formalization-smoke,claude-haiku-4.5,gpt-5.2,draw,,
lean-knowledge-formalization-smoke,claude-haiku-4.5,gpt-5.4-mini,draw,,
lean-knowledge-formalization-smoke,claude-haiku-4.5,gpt-5.4,draw,,long
lean-knowledge-formalization-smoke,claude-opus-4.7-high,claude-opus-4.7,draw,,default-effort
lean-knowledge-formalization-smoke,claude-opus-4.7-high,gpt-5.2,draw,,
lean-knowledge-formalization-smoke,claude-opus-4.7-high,gpt-5.4-mini,draw,,
lean-knowledge-formalization-smoke,claude-opus-4.7-high,gpt-5.4,draw,,long
lean-knowledge-formalization-smoke,claude-opus-4.7,claude-sonnet-4.6,draw,default-effort,
lean-knowledge-formalization-smoke,claude-opus-4.7,gpt-5.2,draw,default-effort,
lean-knowledge-formalization-smoke,claude-opus-4.7,gpt-5.4,draw,default-effort,
lean-knowledge-formalization-smoke,claude-opus-4.7,gpt-5.4-mini,draw,default-effort,
lean-knowledge-formalization-smoke,claude-opus-4.7,gpt-5.4,draw,default-effort,long
lean-knowledge-formalization-smoke,claude-sonnet-4.6,gpt-5.2,draw,,
lean-knowledge-formalization-smoke,claude-sonnet-4.6,gpt-5.4-mini,draw,,
lean-knowledge-formalization-smoke,claude-sonnet-4.6,gpt-5.4,draw,,long
lean-knowledge-formalization-smoke,gpt-5.2,gpt-5.4,draw,,
lean-knowledge-formalization-smoke,gpt-5.2,gpt-5.4-mini,draw,,
lean-knowledge-formalization-smoke,gpt-5.2,gpt-5.4,draw,,long
lean-knowledge-formalization-smoke,gpt-5.4,gpt-5.4-mini,draw,,
lean-knowledge-formalization-smoke,gpt-5.4,gpt-5.4,draw,,long
lean-knowledge-formalization-smoke,gpt-5.4-mini,gpt-5.4,draw,,long
lean-mwe-smoke,claude-haiku-4.5,claude-opus-4.7,b,,default-effort
lean-mwe-smoke,claude-haiku-4.5,gpt-5.2,b,,
lean-mwe-smoke,claude-haiku-4.5,gpt-5.4-mini,draw,,
lean-mwe-smoke,claude-haiku-4.5,gpt-5.4,b,,long
lean-mwe-smoke,claude-opus-4.7-high,claude-opus-4.7,draw,,default-effort
lean-mwe-smoke,claude-opus-4.7-high,gpt-5.2,a,,
lean-mwe-smoke,claude-opus-4.7-high,gpt-5.4-mini,a,,
lean-mwe-smoke,claude-opus-4.7-high,gpt-5.4,a,,long
lean-mwe-smoke,claude-opus-4.7,claude-sonnet-4.6,a,default-effort,
lean-mwe-smoke,claude-opus-4.7,gpt-5.2,a,default-effort,
lean-mwe-smoke,claude-opus-4.7,gpt-5.4,a,default-effort,
lean-mwe-smoke,claude-opus-4.7,gpt-5.4-mini,a,default-effort,
lean-mwe-smoke,claude-opus-4.7,gpt-5.4,a,default-effort,long
lean-mwe-smoke,claude-sonnet-4.6,gpt-5.2,a,,
lean-mwe-smoke,claude-sonnet-4.6,gpt-5.4-mini,a,,
lean-mwe-smoke,claude-sonnet-4.6,gpt-5.4,a,,long
lean-mwe-smoke,gpt-5.2,gpt-5.4,draw,,
lean-mwe-smoke,gpt-5.2,gpt-5.4-mini,a,,
lean-mwe-smoke,gpt-5.2,gpt-5.4,draw,,long
lean-mwe-smoke,gpt-5.4,gpt-5.4-mini,a,,
lean-mwe-smoke,gpt-5.4,gpt-5.4,draw,,long
lean-mwe-smoke,gpt-5.4-mini,gpt-5.4,b,,long
lean-nested-learning-smoke,claude-haiku-4.5,gpt-5.2,draw,,
lean-nested-learning-smoke,claude-haiku-4.5,gpt-5.4-mini,draw,,
lean-nested-learning-smoke,claude-haiku-4.5,gpt-5.4,draw,,long
lean-nested-learning-smoke,claude-opus-4.7-high,gpt-5.2,draw,,
lean-nested-learning-smoke,claude-opus-4.7-high,gpt-5.4-mini,draw,,
lean-nested-learning-smoke,claude-opus-4.7-high,gpt-5.4,draw,,long
lean-nested-learning-smoke,claude-sonnet-4.6,gpt-5.2,draw,,
lean-nested-learning-smoke,claude-sonnet-4.6,gpt-5.4-mini,draw,,
lean-nested-learning-smoke,claude-sonnet-4.6,gpt-5.4,draw,,long
lean-nested-learning-smoke,gpt-5.2,gpt-5.4,draw,,
lean-nested-learning-smoke,gpt-5.2,gpt-5.4-mini,draw,,
lean-nested-learning-smoke,gpt-5.2,gpt-5.4,draw,,long
lean-nested-learning-smoke,gpt-5.4,gpt-5.4-mini,draw,,
lean-nested-learning-smoke,gpt-5.4,gpt-5.4,draw,,long
lean-nested-learning-smoke,gpt-5.4-mini,gpt-5.4,draw,,long
lean-pr-smoke,claude-haiku-4.5,gpt-5.2,b,,
lean-pr-smoke,claude-haiku-4.5,gpt-5.4-mini,b,,
lean-pr-smoke,claude-haiku-4.5,gpt-5.4,b,,long
lean-pr-smoke,claude-opus-4.7-high,gpt-5.2,b,,
lean-pr-smoke,claude-opus-4.7-high,gpt-5.4-mini,b,,
lean-pr-smoke,claude-opus-4.7-high,gpt-5.4,b,,long
lean-pr-smoke,claude-sonnet-4.6,gpt-5.2,b,,
lean-pr-smoke,claude-sonnet-4.6,gpt-5.4-mini,b,,
lean-pr-smoke,claude-sonnet-4.6,gpt-5.4,b,,long
lean-pr-smoke,gpt-5.2,gpt-5.4,a,,
lean-pr-smoke,gpt-5.2,gpt-5.4-mini,a,,
lean-pr-smoke,gpt-5.2,gpt-5.4,draw,,long
lean-pr-smoke,gpt-5.4,gpt-5.4-mini,b,,
lean-pr-smoke,gpt-5.4,gpt-5.4,b,,long
lean-pr-smoke,gpt-5.4-mini,gpt-5.4,b,,long
lean-proof-omega,claude-haiku-4.5,gpt-5.2,a,,
lean-proof-omega,claude-haiku-4.5,gpt-5.4-mini,b,,
lean-proof-omega,claude-haiku-4.5,gpt-5.4,a,,long
lean-proof-omega,claude-opus-4.7-high,gpt-5.2,draw,,
lean-proof-omega,claude-opus-4.7-high,gpt-5.4-mini,b,,
lean-proof-omega,claude-opus-4.7-high,gpt-5.4,draw,,long
lean-proof-omega,claude-sonnet-4.6,gpt-5.2,draw,,
lean-proof-omega,claude-sonnet-4.6,gpt-5.4-mini,b,,
lean-proof-omega,claude-sonnet-4.6,gpt-5.4,draw,,long
lean-proof-omega,gpt-5.2,gpt-5.4,draw,,
lean-proof-omega,gpt-5.2,gpt-5.4-mini,b,,
lean-proof-omega,gpt-5.2,gpt-5.4,draw,,long
lean-proof-omega,gpt-5.4,gpt-5.4-mini,b,,
lean-proof-omega,gpt-5.4,gpt-5.4,draw,,long
lean-proof-omega,gpt-5.4-mini,gpt-5.4,a,,long
lean-retroactive-audit-smoke,claude-haiku-4.5,gpt-5.2,draw,,
lean-retroactive-audit-smoke,claude-haiku-4.5,gpt-5.4-mini,draw,,
lean-retroactive-audit-smoke,claude-haiku-4.5,gpt-5.4,draw,,long
lean-retroactive-audit-smoke,claude-opus-4.7-high,gpt-5.2,draw,,
lean-retroactive-audit-smoke,claude-opus-4.7-high,gpt-5.4-mini,draw,,
lean-retroactive-audit-smoke,claude-opus-4.7-high,gpt-5.4,draw,,long
lean-retroactive-audit-smoke,claude-sonnet-4.6,gpt-5.2,draw,,
lean-retroactive-audit-smoke,claude-sonnet-4.6,gpt-5.4-mini,draw,,
lean-retroactive-audit-smoke,claude-sonnet-4.6,gpt-5.4,draw,,long
lean-retroactive-audit-smoke,gpt-5.2,gpt-5.4,draw,,
lean-retroactive-audit-smoke,gpt-5.2,gpt-5.4-mini,draw,,
lean-retroactive-audit-smoke,gpt-5.2,gpt-5.4,draw,,long
lean-retroactive-audit-smoke,gpt-5.4,gpt-5.4-mini,draw,,
lean-retroactive-audit-smoke,gpt-5.4,gpt-5.4,draw,,long
lean-retroactive-audit-smoke,gpt-5.4-mini,gpt-5.4,draw,,long
lean-security-formalization-smoke,claude-haiku-4.5,gpt-5.2,draw,,
lean-security-formalization-smoke,claude-haiku-4.5,gpt-5.4-mini,draw,,
lean-security-formalization-smoke,claude-haiku-4.5,gpt-5.4,draw,,long
lean-security-formalization-smoke,claude-opus-4.7-high,gpt-5.2,draw,,
lean-security-formalization-smoke,claude-opus-4.7-high,gpt-5.4-mini,draw,,
lean-security-formalization-smoke,claude-opus-4.7-high,gpt-5.4,draw,,long
lean-security-formalization-smoke,claude-sonnet-4.6,gpt-5.2,draw,,
lean-security-formalization-smoke,claude-sonnet-4.6,gpt-5.4-mini,draw,,
lean-security-formalization-smoke,claude-sonnet-4.6,gpt-5.4,draw,,long
lean-security-formalization-smoke,gpt-5.2,gpt-5.4,draw,,
lean-security-formalization-smoke,gpt-5.2,gpt-5.4-mini,draw,,
lean-security-formalization-smoke,gpt-5.2,gpt-5.4,draw,,long
lean-security-formalization-smoke,gpt-5.4,gpt-5.4-mini,draw,,
lean-security-formalization-smoke,gpt-5.4,gpt-5.4,draw,,long
lean-security-formalization-smoke,gpt-5.4-mini,gpt-5.4,draw,,long
lean-specification-smoke,claude-haiku-4.5,gpt-5.2,draw,,
lean-specification-smoke,claude-haiku-4.5,gpt-5.4-mini,draw,,
lean-specification-smoke,claude-haiku-4.5,gpt-5.4,draw,,long
lean-specification-smoke,claude-opus-4.7-high,gpt-5.2,draw,,
lean-specification-smoke,claude-opus-4.7-high,gpt-5.4-mini,draw,,
lean-specification-smoke,claude-opus-4.7-high,gpt-5.4,draw,,long
lean-specification-smoke,claude-sonnet-4.6,gpt-5.2,draw,,
lean-specification-smoke,claude-sonnet-4.6,gpt-5.4-mini,draw,,
lean-specification-smoke,claude-sonnet-4.6,gpt-5.4,draw,,long
lean-specification-smoke,gpt-5.2,gpt-5.4,draw,,
lean-specification-smoke,gpt-5.2,gpt-5.4-mini,draw,,
lean-specification-smoke,gpt-5.2,gpt-5.4,draw,,long
